play,author,act,scene,player,text,annotation,highlight,cutting,revision
,,1,1,EGEUS,"Consent to marry with Demetrius,","As Hermia's father, the ancient privilege of Athens states that she may be put to death if she does not obey her father's wishes for her marriage.",,,
,,1,1,EGEUS,"I beg the ancient privilege of Athens,",,,,
,,1,1,EGEUS,"As she is mine, I may dispose of her:",,,,
,,1,1,EGEUS,Which shall be either to this gentleman,,gentleman,,
,,1,1,EGEUS,"Or to her death, according to our law",,Or to her death,,
,,1,1,EGEUS,Immediately provided in that case.,,,,
,,1,1,THESEUS,"What say you, Hermia? be advised fair maid:",,,,
,,1,1,THESEUS,"To you your father should be as a god,",,,,
,,1,1,THESEUS,"One that composed your beauties, yea, and one",,,,
,,1,1,THESEUS,To whom you are but as a form in wax,"A [**wax form**](https://medical-dictionary.thefreedictionary.com/wax+pattern) may refer here to a pattern of wax that, when invested and burned out or otherwise eliminated, will produce a mold in which a casting may be made.",wax,,
,,1,1,THESEUS,By him imprinted and within his power,Thesus here tells Hermia that she must think of her father as a god who has the power to give and take away her beauty as a wax molding creates a form of an image and can easily be changed or disfigured,,,
,,1,1,THESEUS,To leave the figure or disfigure it.,ibid1,,,
,,1,1,THESEUS,Demetrius is a worthy gentleman.,,,,
,,1,1,HERMIA,So is Lysander.,,,,
,,1,1,THESEUS,"In himself he is,",,,,
,,1,1,THESEUS,"But in this kind, wanting your father's voice,",,,,
,,1,1,THESEUS,The other must be held the worthier.,,,,
,,1,1,HERMIA,I would my father look'd but with my eyes.,,,,
,,1,1,THESEUS,Rather your eyes must with his judgment look.,Thesus argues to Hermia that she must look more objectively and see the men as her father does.,,,
,,1,1,HERMIA,I do entreat your grace to pardon me.,,,,
,,1,1,HERMIA,"I know not by what power I am made bold,",,,,
,,1,1,HERMIA,"Nor how it may concern my modesty,",,,,
,,1,1,HERMIA,"In such a presence here to plead my thoughts,",,,,
,,1,1,HERMIA,But I beseech your grace that I may know,,,,
,,1,1,HERMIA,"The worst that may befall me in this case,",,,,
,,1,1,HERMIA,If I refuse to wed Demetrius.,,,,
,,1,1,THESEUS,Either to die the death or to abjure,,,,
,,1,1,THESEUS,For ever the society of men.,,,,
,,1,1,THESEUS,"Therefore, fair Hermia, question your desires,",,,,
,,1,1,THESEUS,"Know of your youth, examine well your blood,",,,,
,,1,1,THESEUS,"Whether, if you yield not to your father's choice,","This script generates a number of usually pronounceable and frequently amusing fake words loosely based on a specific language. They can be used, for example, to name characters in games and whatnot. Maybe you need to name a town or an NPC in your next campaign?",,,
,,1,1,THESEUS,"You can endure the livery of a nun,",A [**livery**](https://www.britannica.com/topic/religious-dress/Roman-Catholic-religious-dress) being literally defined as a distinctive dress as that of a nun or servant (Mirriam-Webster) in this context is in reference to the chaste life of abstinence that Theseus will subject Hermia to should she not marry Demetrius as he wishes.,livery,,
,,1,1,THESEUS,"For aye to be in shady cloister mew'd,",**Mew'd** in this context means to be shut up or confined.,mew'd,,
,,1,1,THESEUS,"To live a barren sister all your life,",,,,
,,1,1,THESEUS,Chanting faint hymns to the cold fruitless moon.,,,,
,,1,1,THESEUS,"Thrice-blessed they that master so their blood,",,,,
,,1,1,THESEUS,"To undergo such maiden pilgrimage,",,,,
,,1,1,THESEUS,"But earthlier happy is the rose distill'd,",,,,
,,1,1,THESEUS,Than that which withering on the virgin thorn,,,,
,,1,1,THESEUS,"Grows, lives and dies in single blessedness.",,,,
,,1,1,HERMIA,"So will I grow, so live, so die, my lord,",,,,
,,1,1,HERMIA,Ere I will my virgin patent up,"Here, Hermia speaks of her virgin **patent** as a priviledge or license to be given up. She does not want to lose her virginity to someone she does not care for.",patent,,
,,1,1,HERMIA,"Unto his lordship, whose unwished yoke",,,,
,,1,1,HERMIA,My soul consents not to give sovereignty.,,,,
,,1,1,THESEUS,"Take time to pause, and, by the nest new moon--",,,,
,,1,1,THESEUS,"The sealing-day betwixt my love and me,",The **sealing-day** spoken of here is in reference to marriage.,sealing-day,,
,,1,1,THESEUS,For everlasting bond of fellowship--,,,,
,,1,1,THESEUS,Upon that day either prepare to die,,,,
,,1,1,THESEUS,"For disobedience to your father's will,",,,,
,,1,1,THESEUS,"Or else to wed Demetrius, as he would,",,,,
,,1,1,THESEUS,Or on Diana's altar to protest,"**Diana** is the “goddess of the hunt” and presides over the woodland, nature, and the moon.",Diana,,
,,1,1,THESEUS,For aye austerity and single life.,,,,
,,1,1,DEMETRIUS,"Relent, sweet Hermia: and, Lysander, yield",,,,
,,1,1,DEMETRIUS,Thy crazed title to my certain right.,,,,
,,1,1,LYSANDER,"You have her father's love, Demetrius,",,,,
,,1,1,LYSANDER,Let me have Hermia's: do you marry him.,,,,
,,1,1,EGEUS,"Scornful Lysander! true, he hath my love,",,,,
,,1,1,EGEUS,And what is mine my love shall render him.,,,,
,,1,1,EGEUS,"And she is mine, and all my right of her",,,,
,,1,1,EGEUS,I do estate unto Demetrius.,,,,
,,1,1,LYSANDER,"I am, my lord, as well derived as he,",,,,
,,1,1,LYSANDER,"As well possess'd, my love is more than his,",,,,
,,1,1,LYSANDER,"My fortunes every way as fairly rank'd,",,,,
,,1,1,LYSANDER,"If not with vantage, as Demetrius',",,,,
,,1,1,LYSANDER,"And, which is more than all these boasts can be,",,,,
,,1,1,LYSANDER,I am beloved of beauteous Hermia:,,,,
,,1,1,LYSANDER,Why should not I then prosecute my right?,,,,
,,1,1,LYSANDER,"Demetrius, I'll avouch it to his head,","**Avouch** means here to vouch for, to confess, or to avow.",avouch,,
,,1,1,LYSANDER,"Made love to Nedar's daughter, Helena,","There is much debate about the true identity of [**Nedar**](https://www.deepdyve.com/lp/oxford-university-press/the-meaning-of-nedar-in-a-midsummer-night-s-dream-8q6nVf9Uh1), the father of Helena. However, prominent Shakespeare scholar Terence Hawkes speculates that it could be an anagram for Arden, a noble family name linked to Shakespeare's mother's family. Others believe that the name originates from a Hebrew derivitive meaning ""missing"" or ""absent"" which would account for the character Nedar's glaring absence in the play.",Nedar,,
,,1,1,LYSANDER,"And won her soul, and she, sweet lady, dotes,",,,,
,,1,1,LYSANDER,"Devoutly dotes, dotes in idolatry,",,,,
,,1,1,LYSANDER,Upon this spotted and inconstant man.,,,,
,,1,1,THESEUS,"I must confess that I have heard so much,",,,,
,,1,1,THESEUS,"And with Demetrius thought to have spoke thereof,",,,,
,,1,1,THESEUS,"But, being over-full of self-affairs,",,,,
,,1,1,THESEUS,"My mind did lose it. But, Demetrius, come,",,,,
,,1,1,THESEUS,"And come, Egeus, you shall go with me,",,,,
,,1,1,THESEUS,I have some private schooling for you both.,,,,
,,1,1,THESEUS,"For you, fair Hermia, look you arm yourself",,,,
,,1,1,THESEUS,"To fit your fancies to your father's will,",,,,
,,1,1,THESEUS,Or else the law of Athens yields you up--,,,,
,,1,1,THESEUS,Which by no means we may extenuate--,,,,
,,1,1,THESEUS,"To death, or to a vow of single life.",,,,
,,1,1,THESEUS,"Come, my Hippolyta: what cheer, my love?",,,,
,,1,1,THESEUS,"Demetrius and Egeus, go along:",,,,
,,1,1,THESEUS,I must employ you in some business,,,,
,,1,1,THESEUS,Against our nuptial and confer with you,,,,
,,1,1,THESEUS,Of something nearly that concerns yourselves.,,,,
,,1,1,EGEUS,With duty and desire we follow you.,,,,
,,1,1,StageDirection,Exeunt all but LYSANDER and HERMIA,,,,
,,1,1,LYSANDER,"How now, my love! why is your cheek so pale?",,,,
,,1,1,LYSANDER,How chance the roses there do fade so fast?,,,,
,,1,1,HERMIA,"Belike for want of rain, which I could well","The archaic term **belike,** circa 1500, was most-likely used to mean ""probably.""",Belike,,
,,1,1,HERMIA,Beteem them from the tempest of my eyes.,To **beteem* here means to allow or to permit.,Beteem,,
,,1,1,LYSANDER,"Ay me! for aught that I could ever read,",,,,
,,1,1,LYSANDER,"Could ever hear by tale or history,",,,,
,,1,1,LYSANDER,"The course of true love never did run smooth,",,,,
,,1,1,LYSANDER,"But, either it was different in blood,--",,,,
,,1,1,HERMIA,O cross! too high to be enthrall'd to low.,,,,
,,1,1,LYSANDER,"Or else misgraffed in respect of years,--",**Misgraffed** here means that which is wrongly grafted or badly matched.,Misgraffed,,
,,1,1,HERMIA,O spite! too old to be engaged to young.,,,,
,,1,1,LYSANDER,"Or else it stood upon the choice of friends,--",,,,
,,1,1,HERMIA,O hell! to choose love by another's eyes.,,,,
,,1,1,LYSANDER,"Or, if there were a sympathy in choice,",,,,
,,1,1,LYSANDER,"War, death, or sickness did lay siege to it,",,,,
,,1,1,LYSANDER,"Making it momentany as a sound,","**Momentany** is an obsolete use of ""momentary.""",momentany,,
,,1,1,LYSANDER,"Swift as a shadow, short as any dream,",,,,
,,1,1,LYSANDER,"Brief as the lightning in the collied night,",,,,
,,1,1,LYSANDER,"That, in a spleen, unfolds both heaven and earth,",**Spleen** here is in reference to a sudden impulse or whim.,spleen,,
,,1,1,LYSANDER,And ere a man hath power to say 'Behold!',,,,
,,1,1,LYSANDER,The jaws of darkness do devour it up:,,,,
,,1,1,LYSANDER,So quick bright things come to confusion.,,,,
,,1,1,HERMIA,"If then true lovers have been ever cross'd,",,,,
,,1,1,HERMIA,It stands as an edict in destiny:,,,,
,,1,1,HERMIA,"Then let us teach our trial patience,",,,,
,,1,1,HERMIA,"Because it is a customary cross,",,,,
,,1,1,HERMIA,"As due to love as thoughts and dreams and sighs,",,,,
,,1,1,HERMIA,"Wishes and tears, poor fancy's followers.",,,,
,,1,1,LYSANDER,"A good persuasion: therefore, hear me, Hermia.",,,,
,,1,1,LYSANDER,"I have a widow aunt, a dowager","Lysander has a well thought out plan for his escape with Hermia. Not only will they receive a friendly greeting upon arrival, they will be provided for once they settle there.",,,
,,1,1,LYSANDER,"Of great revenue, and she hath no child:",ibid1,,,
,,1,1,LYSANDER,"From Athens is her house remote seven leagues,",ibid2,,,
,,1,1,LYSANDER,And she respects me as her only son.,ibid3,,,
,,1,1,LYSANDER,"There, gentle Hermia, may I marry thee,",,,,
,,1,1,LYSANDER,And to that place the sharp Athenian law,,,,
,,1,1,LYSANDER,"Cannot pursue us. If thou lovest me then,",,,,
,,1,1,LYSANDER,"Steal forth thy father's house to-morrow night,",,,,
,,1,1,LYSANDER,"And in the wood, a league without the town,",,,,
,,1,1,LYSANDER,"Where I did meet thee once with Helena,",,,,
,,1,1,LYSANDER,"To do observance to a morn of May,",,,,
,,1,1,LYSANDER,There will I stay for thee.,,,,
,,1,1,HERMIA,My good Lysander!,,,,
,,1,1,HERMIA,"I swear to thee, by Cupid's strongest bow,","**Cupid** is the mythological son of Venus, the mischievous young nymph who manipulates situations of love and passion as described by Helena",Cupid,,
,,1,1,HERMIA,"By his best arrow with the golden head,",,,,
,,1,1,HERMIA,"By the simplicity of Venus' doves,",**Venus** is the goddess of love and the mother of Cupid,Venus,,
,,1,1,HERMIA,"By that which knitteth souls and prospers loves,",,,,
,,1,1,HERMIA,"And by that fire which burn'd the Carthage queen,","This line is in reference to **Dido, queen of Carthage,** who committed suicide after being abandoned by Aneas.",,,
,,1,1,HERMIA,"When the false Troyan under sail was seen,","This line is in reference to the **Trojan horse,** a lengthy account of which is given in Virgil’s *Aneid.*",,,
,,1,1,HERMIA,"By all the vows that ever men have broke,",,,,
,,1,1,HERMIA,"In number more than ever women spoke,",,,,
,,1,1,HERMIA,"In that same place thou hast appointed me,",,,,
,,1,1,HERMIA,To-morrow truly will I meet with thee.,,,,
,,1,1,LYSANDER,"Keep promise, love. Look, here comes Helena.",,,,
,,1,1,StageDirection,Enter HELENA,,,,
,,1,1,HERMIA,God speed fair Helena! whither away?,,,,
,,1,1,HELENA,Call you me fair? that fair again unsay.,,,,
,,1,1,HELENA,Demetrius loves your fair: O happy fair!,,,,
,,1,1,HELENA,"Your eyes are lode-stars, and your tongue's sweet air","A **lode-star** is an archaic term for a star that leads or guides, specifically the North Star.",Your eyes are lode-stars,,
,,1,1,HELENA,"More tuneable than lark to shepherd's ear,",,,,
,,1,1,HELENA,"When wheat is green, when hawthorn buds appear.",,,,
,,1,1,HELENA,"Sickness is catching: O, were favour so,",,,,
,,1,1,HELENA,"Yours would I catch, fair Hermia, ere I go,",,,,
,,1,1,HELENA,"My ear should catch your voice, my eye your eye,",,,,
,,1,1,HELENA,My tongue should catch your tongue's sweet melody.,,,,
,,1,1,HELENA,"Were the world mine, Demetrius being bated,",**Bated** is an obsolete verb meaning here to diminish or decrease.,bated,,
,,1,1,HELENA,The rest I'd give to be to you translated.,,,,
,,1,1,HELENA,"O, teach me how you look, and with what art",,,,
,,1,1,HELENA,You sway the motion of Demetrius' heart.,,,,
,,1,1,HERMIA,"I frown upon him, yet he loves me still.",,,,
,,1,1,HELENA,O that your frowns would teach my smiles such skill!,,,,
,,1,1,HERMIA,"I give him curses, yet he gives me love.",,,,
,,1,1,HELENA,O that my prayers could such affection move!,,,,
,,1,1,HERMIA,"The more I hate, the more he follows me.",,,,
,,1,1,HELENA,"The more I love, the more he hateth me.",,,,
,,1,1,HERMIA,"His folly, Helena, is no fault of mine.",,,,
,,1,1,HELENA,"None, but your beauty: would that fault were mine!",,,,
,,1,1,HERMIA,"Take comfort: he no more shall see my face,",,,,
,,1,1,HERMIA,Lysander and myself will fly this place.,,,,
,,1,1,HERMIA,"Before the time I did Lysander see,",,,,
,,1,1,HERMIA,Seem'd Athens as a paradise to me:,,,,
,,1,1,HERMIA,"O, then, what graces in my love do dwell,",,,,
,,1,1,HERMIA,That he hath turn'd a heaven unto a hell!,,,,
,,1,1,LYSANDER,"Helen, to you our minds we will unfold:",,,,
,,1,1,LYSANDER,"To-morrow night, when Phoebe doth behold","**Phoebe,** better known by her more formal title Diana, is the “goddess of the hunt” and presides over the woodland, nature, and the moon. (See Diana)",Phoebe,,
,,1,1,LYSANDER,"Her silver visage in the watery glass,",ibid1,,,
,,1,1,LYSANDER,"Decking with liquid pearl the bladed grass,","**""Liquid pearl""** here references the dew on the grass.",liquid pearl,,
,,1,1,LYSANDER,"A time that lovers' flights doth still conceal,",,,,
,,1,1,LYSANDER,Through Athens' gates have we devised to steal.,,,,
,,1,1,HERMIA,"And in the wood, where often you and I",,,,
,,1,1,HERMIA,"Upon faint primrose-beds were wont to lie,",,,,
,,1,1,HERMIA,"Emptying our bosoms of their counsel sweet,",,,,
,,1,1,HERMIA,"There my Lysander and myself shall meet,",,,,
,,1,1,HERMIA,"And thence from Athens turn away our eyes,",,,,
,,1,1,HERMIA,To seek new friends and stranger companies.,,,,
,,1,1,HERMIA,"Farewell, sweet playfellow: pray thou for us,",,,,
,,1,1,HERMIA,And good luck grant thee thy Demetrius!,,,,
,,1,1,HERMIA,"Keep word, Lysander: we must starve our sight",,,,
,,1,1,HERMIA,From lovers' food till morrow deep midnight.,"**""Lovers' food""** may here be in reference to feasting their eyes on one another until a later time when they are able to meet again.",lovers' food,,
,,1,1,LYSANDER,"I will, my Hermia.",,,,
,,1,1,StageDirection,Exit HERMIA,,,,
,,1,1,LYSANDER,"Helena, adieu:",,,,
,,1,1,LYSANDER,"As you on him, Demetrius dote on you!","To **dote** means to be lavish or excessive in one's attention, fondness, or affection.",dote,,
,,1,1,StageDirection,Exit,,,,
,,1,1,HELENA,How happy some o'er other some can be!,,,,
,,1,1,HELENA,Through Athens I am thought as fair as she.,,,,
,,1,1,HELENA,"But what of that? Demetrius thinks not so,",,,,
,,1,1,HELENA,He will not know what all but he do know:,,,,
,,1,1,HELENA,"And as he errs, doting on Hermia's eyes,",,,,
,,1,1,HELENA,"So I, admiring of his qualities:",,,,
,,1,1,HELENA,"Things base and vile, folding no quantity,",,,,
,,1,1,HELENA,Love can transpose to form and dignity:,,,,
,,1,1,HELENA,"Love looks not with the eyes, but with the mind,",,,,
,,1,1,HELENA,And therefore is wing'd Cupid painted blind:,"**Cupid** is the mythological son of Venus, the mischievous young nymph who manipulates situations of love and passion as described by Helena",Cupid,,
,,1,1,HELENA,"Nor hath Love's mind of any judgement taste,",,,,
,,1,1,HELENA,Wings and no eyes figure unheedy haste:,,,,
,,1,1,HELENA,"And therefore is Love said to be a child,",,,,
,,1,1,HELENA,Because in choice he is so oft beguiled.,,,,
,,1,1,HELENA,"As waggish boys in game themselves forswear,",A **wag** is a young man or a chap; To **forswear** means here to reject or renounce under oath.,waggish;forswear,,
,,1,1,HELENA,So the boy Love is perjured every where:,"To be **purjured** means to make a perjurer of (oneself), which is one guilty of false swearing.",perjured,,
,,1,1,HELENA,"For ere Demetrius look'd on Hermia's eyne,","Here, the term **eyne** refers to her eyes.",eyne,,
,,1,1,HELENA,"He hail'd down oaths that he was only mine,",,,,
,,1,1,HELENA,"And when this hail some heat from Hermia felt,",,,,
,,1,1,HELENA,"So he dissolved, and showers of oaths did melt.",,,,
,,1,1,HELENA,I will go tell him of fair Hermia's flight:,,,,
,,1,1,HELENA,Then to the wood will he to-morrow night,,,,
,,1,1,HELENA,"Pursue her, and for this intelligence",,,,
,,1,1,HELENA,"If I have thanks, it is a dear expense:",,,,
,,1,1,HELENA,"But herein mean I to enrich my pain,",,,,
,,1,1,HELENA,To have his sight thither and back again.,**Thither** here means being on the other and farther side.,thither,,
,,1,1,StageDirection,Exit,,,,
,,1,2,StageDirection,SCENE II. Athens. QUINCE'S house.,,,,
,,1,2,StageDirection,"Enter QUINCE, SNUG, BOTTOM, FLUTE, SNOUT, and STARVELING","*The Rude Mechanicals* Six Athenian tradesmen who are ready to put on the play “Pyramus and Thisbe.” A pair of ill-fated lovers in the city of Babylon who later form the Metamorphosis. They were forbidden to wed because of their parents rivalry. Very similar to the situation with Hermia and Lysander. The story is the basis for one of Shakespeares greatest tragedies, Romeo and Juliet. This play was to be performed for a wedding. ",,,
,,1,2,QUINCE,Is all our company here?,"*Carpenter* not just buildings and houses, they had a knowledge of wood in general. Known as an elite tradesman. ",,,
,,1,2,BOTTOM,"You were best to call them generally, man by man,",,,,
,,1,2,BOTTOM,according to the scrip.,*Scrip* meaning a text or a script.,scrip,,
,,1,2,QUINCE,"Here is the scroll of every man's name, which is",,,,
,,1,2,QUINCE,"thought fit, through all Athens, to play in our",,,,
,,1,2,QUINCE,"interlude before the duke and the duchess, on his",,,,
,,1,2,QUINCE,wedding-day at night.,,,,
,,1,2,BOTTOM,"First, good Peter Quince, say what the play treats",,,,
,,1,2,BOTTOM,"on, then read the names of the actors, and so grow",,,,
,,1,2,BOTTOM,to a point.,,,,
,,1,2,QUINCE,"Marry, our play is, The most lamentable comedy, and",*Marry* meaning an expression of (real or playful) impatience.,Marry,,
,,1,2,QUINCE,most cruel death of Pyramus and Thisby.,"*Pyramus and Thisbe* The story of Pyramus and Thisbe, the story that set the stage for Romeo and Juliet. ",Pyramus and Thisbe,,
,,1,2,BOTTOM,"A very good piece of work, I assure you, and a",,,,
,,1,2,BOTTOM,"merry. Now, good Peter Quince, call forth your","*Merry* meaning hilarious, uproarious, or hysterical. ",merry,,
,,1,2,BOTTOM,"actors by the scroll. Masters, spread yourselves.",,,,
,,1,2,QUINCE,"Answer as I call you. Nick Bottom, the weaver.","*Weaver* notorious for giving short measure, and cheating the customer.",weaver,,
,,1,2,BOTTOM,"Ready. Name what part I am for, and proceed.",,,,
,,1,2,QUINCE,"You, Nick Bottom, are set down for Pyramus.",,,,
,,1,2,BOTTOM,"What is Pyramus? a lover, or a tyrant?",,,,
,,1,2,QUINCE,"A lover, that kills himself most gallant for love.","*Gallant* meaning showy, ostentacious, or fancy. ",gallant,,
,,1,2,BOTTOM,That will ask some tears in the true performing of,,,,
,,1,2,BOTTOM,"it: if I do it, let the audience look to their",,,,
,,1,2,BOTTOM,"eyes, I will move storms, I will condole in some","*Condole* meaning to lament, grieve, or express great sorrow",condole,,
,,1,2,BOTTOM,measure. To the rest: yet my chief humour is for a,,,,
,,1,2,BOTTOM,"tyrant: I could play Ercles rarely, or a part to",,,,
,,1,2,BOTTOM,"tear a cat in, to make all split.",,,,
,,1,2,BOTTOM,The raging rocks,"[*The Raging Rocks*](https://www.unl.edu/prodmgr/Auditions/Midsummer/25%20Quince.pdf) Quite possibly, this speech given by Bottom was a way for Shakespeare to poke fun at translations of Seneca's Hercules.<br><br> **PERFORMANCE TIP:** Strong, perfomative, and confident",The raging rocks,,
,,1,2,BOTTOM,And shivering shocks,,,,
,,1,2,BOTTOM,Shall break the locks,,,,
,,1,2,BOTTOM,"Of prison gates,",,,,
,,1,2,BOTTOM,And Phibbus' car,,,,
,,1,2,BOTTOM,Shall shine from far,,,,
,,1,2,BOTTOM,And make and mar,,,,
,,1,2,BOTTOM,The foolish Fates.,,,,
,,1,2,BOTTOM,This was lofty! Now name the rest of the players.,,,,
,,1,2,BOTTOM,"This is Ercles' vein, a tyrant's vein, a lover is",,,,
,,1,2,BOTTOM,more condoling.,,,,
,,1,2,QUINCE,"Francis Flute, the bellows-mender.",*Bellows Mender* a bellow was a tool used to blow air into a fire. Made from wood covered partially in leather. Francis would be the person who fixes this tool most likely.,bellows-mender,,
,,1,2,FLUTE,"Here, Peter Quince.",,,,
,,1,2,QUINCE,"Flute, you must take Thisby on you.",,,,
,,1,2,FLUTE,What is Thisby? a wandering knight?,"[*Wandering Knight*](https://www.merriam-webster.com/dictionary/knight-errant) or Knight-Errant was in fact a wandering knight looking for adventures to exhibit one's skills, prowess, and generosity. ",wandering knight,,
,,1,2,QUINCE,It is the lady that Pyramus must love.,,,,
,,1,2,FLUTE,"Nay, faith, let me not play a woman, I have a beard coming.",,,,
,,1,2,QUINCE,"That's all one: you shall play it in a mask, and",,,,
,,1,2,QUINCE,you may speak as small as you will.,"*Shakespeare and Gender* During this period of time, female characters were played by men. Within this play, Flute would perform as Thisbe in a mask. ",,,
,,1,2,BOTTOM,"An I may hide my face, let me play Thisby too, I'll",,,,
,,1,2,BOTTOM,"speak in a monstrous little voice. 'Thisne,",,,,
,,1,2,BOTTOM,"Thisne,' 'Ah, Pyramus, lover dear! thy Thisby dear,",,,,
,,1,2,BOTTOM,and lady dear!',,,,
,,1,2,QUINCE,"No, no, you must play Pyramus: and, Flute, you Thisby.",,,,
,,1,2,BOTTOM,"Well, proceed.",,,,
,,1,2,QUINCE,"Robin Starveling, the tailor.",*Tailor* similar to a weaver. Clearly someone who works on making a fixing garments.,tailor,,
,,1,2,STARVELING,"Here, Peter Quince.",,,,
,,1,2,QUINCE,"Robin Starveling, you must play Thisby's mother.",,,,
,,1,2,QUINCE,"Tom Snout, the tinker.",*Tinker* an archaic term for someone who worked as a tinsmith. Mostly mending household utensils.,tinker,,
,,1,2,SNOUT,"Here, Peter Quince.",,,,
,,1,2,QUINCE,"You, Pyramus' father: myself, Thisby's father:",,,,
,,1,2,QUINCE,"Snug, the joiner, you, the lion's part: and, I","*Joiner* most furniture during this time was made with wood planks and nails. Once proper joints started becoming a regular part of furniture, the men who specialized in this were called joiners. ",joiner,,
,,1,2,QUINCE,"hope, here is a play fitted.",,,,
,,1,2,SNUG,"Have you the lion's part written? pray you, if it",,,,
,,1,2,SNUG,"be, give it me, for I am slow of study.",*Slow of study* meaning that Snug is declaring himself a person who does not learn things quickly.,slow of study,,
,,1,2,QUINCE,"You may do it extempore, for it is nothing but roaring.","*Extempore* meaning without preparation, improvised, for the occasion.",extempore,,
,,1,2,BOTTOM,"Let me play the lion too: I will roar, that I will","**PERFORMANCE TIP:** Bottom is a goof. Like most of his dialogue, this statement is among one of the many goofy things he says. Lean into the sillyness with a clear confidence. ",,,
,,1,2,BOTTOM,"do any man's heart good to hear me, I will roar,",,,,
,,1,2,BOTTOM,"that I will make the duke say 'Let him roar again,",,,,
,,1,2,BOTTOM,let him roar again.',,,,
,,1,2,QUINCE,"An you should do it too terribly, you would fright",,,,
