play,author,act,scene,player,text,annotation,highlight,cutting,revision
,,1,3,,I got possession of Julietta's bed.,,,,
,,1,3,,"You know the lady; she is fast my wife,",,,,
,,1,3,,Save that we do the denunciation lack,**Denunciation** is referring to a formal or public announcement.,denunciation,,
,,1,3,,Of outward order. This we came not to,,,,
,,1,3,,Only for propagation of a dower,"**Propagation** means increasing the extent of money, also a breeding image, in a play full of breeding images",propagation,,
,,1,3,,"Remaining in the coffer of her friends,",**Coffer** means a chest of money,coffer,,
,,1,3,,From whom we thought it meet to hide our love,,,,
,,1,3,,Til Time had made them for us. But it chances,won them over to our side,made them for us,,
,,1,3,,The stealth of our most mutual entertainment,,,,
,,1,3,,With character too gross is writ on Juliet.,,,,
,,1,3,LUCIO,"With child, perhaps?",,,,
,,1,3,CLAUDIO,"Unhappily, even so.",,,,
,,1,3,,And the new deputy now for the Duke --,,,,
,,1,3,,"Whether it be the fault and glimpse of newness,",,,,
,,1,3,,Or whether that the body public be,,,,
,,1,3,,"A horse whereon the governor doth ride,",,,,
,,1,3,,"Who, newly in the seat, that it may know",,,,
,,1,3,,"He can command, lets it straight feel the spur;","**Spur** literallly means the spur of his boot against their sides, like a rider on a horse",spur,,
,,1,3,,"Whether the tyranny be in his place,",,,,
,,1,3,,Or in his eminence that fills it up --,**Eminence** refers to Angelo's status or excellence ,eminence,,
,,1,3,,I stagger in. But this new governor,**stagger** cannot figure out,stagger,,
,,1,3,,Awakes me all the enrolléd penalties,recorded,enrolléd,,
,,1,3,,"Which have, like unscoured armor, hung by th' wall","**Unscoured** means neglected, unused",unscoured,,
,,1,3,,"So long that fourteen zodiacs have gone round,",fourteen years,fourteen zodiacs,,
,,1,3,,"And none of them been worn; and, for a name,","refers back to penalties, above",none of them,,
,,1,3,,Now puts the drowsy and neglected act,,,,
,,1,3,,Freshly on me. 'Tis surely for a name.,for the sake of reputation,for a name,,
,,1,3,LUCIO,"I warrant it is; and thy head stands so tickle on thy shoulders,",,,,
,,1,3,,"that a milkmaid, if she be in love, may sigh it off: send after",,,,
,,1,3,,"the Duke, and appeal to him.",,,,
,,1,3,CLAUDIO,"I have done so, but he's not to be found.",,,,
,,1,3,,"I prithee, Lucio, do me this kind service:","**Prithee** means please, or may I ask.",prithee,,
,,1,3,,"This day, my sister should the cloister enter,",**Cloister** is another term for monastery or convent,cloister,,
,,1,3,,And there receive her approbation.,**Approbation** means novitiate. Refers to the 1st step in the process by which Isabel will become a nun.,approbation,,
,,1,3,,Acquaint her with the danger of my state.,,,,
,,1,3,,Implore her in my voice that she make friends,,,,
,,1,3,,To the strict deputy. Bid her self assay him.,"**Assay** is another word for attempt, try",assay,,
,,1,3,,"I have great hope in that, for in her youth",,,,
,,1,3,,There is a prone and speechless dialect,"prone, move, play, persuade all are capable of suggesting a sexual or seductive provocation as well as what Claudio directly means",prone,,
,,1,3,,"Such as move men; beside, she hath prosperous art",,,,
,,1,3,,"When she will play with reason and discourse,",devise arguments,play with reason and discourse,,
,,1,3,,And well she can persuade.,,,,
,,1,3,LUCIO,I pray she may --,,,,
,,1,3,,"as well for the encouragement of the like, which else",,,,
,,1,3,,"would stand under grievous imposition, as for the",accusation,imposition,,
,,1,3,,"enjoying of thy life, who I would be sorry should be",,,,
,,1,3,,thus foolishly lost at a game of tick-tack.,"backgammon, but Lucio uses it as a bawdy euphemism for sexual intercourse",tick-tack,,
,,1,3,,I'll to her.,,,,
,,1,3,CLAUDIO,"I thank you, good friend Lucio.",,,,
,,1,3,LUCIO,Within two hours.,,,,
,,1,3,CLAUDIO,"Come, officer, away.",,,,
,,1,3,StageDirection,Exeunt.,,,,
,,1,4,StageDirection,Scene Four,,,,
,,1,4,StageDirection,"Enter Isabel and Francisca, a nun.",Punning on the fact that Francisca is part of an order of nuns under the protection of the Franciscans.,"Francisca, a nun",,
,,1,4,ISABEL,And have you nuns no farther privileges?,"The order of the Poor Clares is especially strict, aesthetic, constrained; they do not ever leave the convent",,,
,,1,4,NUN,Are not these large enough?,,,,
,,1,4,ISABEL,"Yes, truly; I speak not as desiring more,",,,,
,,1,4,,But rather wishing a more strict restraint,Isabel wants even more constraint and rigor; her use of 'restraint' also exhoes Claudio's use of the word in the previous scene,more strict,,
,,1,4,,"Upon the sisterhood, the votarists of Saint Clare.","**votarists** are people devoted to a certain religious figure. [St. Clare of Assisi](https://stclare-queens.org/st-clare-of-assisi), who followed Francis of Assisi, helped found an order of nuns or “Sisters of Poverty” who vowed to have no possessions. They slept on the floor, wore no shoes, abstained from eating meat, and took a vow of silence.",votarists of Saint Clare,,
,,1,4,,Lucio within.,,,,
,,1,4,LUCIO,"Ho, peace be in this place!",**Ho** is a friendly greeting but a [clever history](https://dysfunctionalliteracy.com/2013/12/16/the-history-of-ho/) of the use of this word over time is worth a read.,Ho,,
,,1,4,ISABEL,Who's that which calls?,,,,
,,1,4,NUN,"It is a man's voice. Gentle Isabella,",,,,
,,1,4,,"Turn you the key, and know his business of him.",,,,
,,1,4,,You may; I may not; you are yet unsworn.,**unsworn** means not yet bound by oath as a nun.,unsworn,,
,,1,4,,"When you have vowed, you must not speak with men,",,,,
,,1,4,,But in the presence of the Prioress.,"A **Prioress** is the nun in charge, second to the abbess or Mother Superior.",Prioress,,
,,1,4,,"Then if you speak, you must not show your face;",,,,
,,1,4,,"Or if you show your face, you must not speak.",,,,
,,1,4,StageDirection,[Lucio calls within],,,,
,,1,4,,He calls again: I pray you answer him.,,,,
,,1,4,ISABEL,Peace and prosperity! Who is't that calls?,,,,
,,1,4,LUCIO,"Hail, virgin, if you be -- as those cheek-roses","**cheek-roses** refers to the blushed apples (round part) of her cheeks indicating youth, innocence, and possibly embarrassment at being alone in the presence of a man.",cheek-roses,,
,,1,4,,Proclaim you are no less. Can you so stead me,Can you help me or be of service to me,Can you stead me,,
,,1,4,,"As bring me to the sight of Isabella,",,,,
,,1,4,,"A novice of this place, and the fair sister","A **novice** is someone new to a position, here meaning a nun who has not yet taken her final vows.",novice,,
,,1,4,,To her unhappy brother Claudio?,,,,
,,1,4,ISABEL,"Why 'her unhappy brother'? Let me ask,",,,,
,,1,4,,The rather for I now must make you know,,,,
,,1,4,,"I am that Isabella, and his sister.",,,,
,,1,4,LUCIO,"Gentle and fair, your brother kindly greets you.",,,,
,,1,4,,"Not to be weary with you, he's in prison.",,,,
,,1,4,ISABEL,Woe me! For what?,,,,
,,1,4,LUCIO,"For that which, if myself might be his judge,",,,,
,,1,4,,He should receive his punishment in thanks:,,,,
,,1,4,,He hath got his friend with child.,He is having a child with his lover,He hath got his friend with child,,
,,1,4,ISABEL,"Sir, make me not your story.",Don’t try to fool me with your tale.,make me not your story,,
,,1,4,LUCIO,Tis true. I would not -- though 'tis my familiar sin,,,,
,,1,4,,"With maids to seem the lapwing, and to jest","A **lapwing** is a [bird](https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/lapwing/breeding-and-nesting-habits/) with a peculiar cry that puts on quite a show to attract a mate, intimidate rivals, and protect its nest.",lapwing,,
,,1,4,,"Tongue, far from heart -- play with all virgins so.",,,,
,,1,4,,"I hold you as a thing enskied, and sainted,",**enskied** means to place above all in heaven.,enskied,,
,,1,4,,"By your renouncement, an immortal spirit",**renouncement** here meaning given up all worldly pleasures.,renouncement,,
,,1,4,,And to be talk'd with in sincerity,,,,
,,1,4,,As with a saint.,,,,
,,1,4,ISABEL,You do blaspheme the good in mocking me.,,,,
,,1,4,LUCIO,"Do not believe it. Fewness and truth, tis thus:",**Fewness** means 'in few words',Fewness,,
,,1,4,,Your brother and his lover have embraced.,,,,
,,1,4,,"As those that feed grow full, as blossoming Time",The next few lines are an extended simile for the act of getting and being pregnant like planting seeds in a fertile field so the crops can **grow full** like a blossoming belly.,grow full,,
,,1,4,,That from the seedness the bare fallow brings,**seedness** refers to the planting season. As in the **bare fallow** or uncultivated ground needs seeds to sprout growth.,seedness the bare fallow,,
,,1,4,,"To teeming foison, even so her plenteous womb",A **foison** is an abundant harvest.,foison,,
,,1,4,,"Expresseth his full tilth, and husbandry.","His full **tilth** is, in this case, his impregnating her",tilth,,
,,1,4,ISABEL,Someone with child by him? My cousin Juliet?,"[In Shakespeare’s time]( https://www.shakespeareswords.com/Public/LanguageCompanion/ThemesAndTopics.aspx?TopicId=10), **cousin** meant someone related by marriage or was a term of endearment between socially equal friends.",cousin,,
,,1,4,LUCIO,Is she your cousin?,,,,
,,1,4,ISABEL,"Adoptedly, as schoolmaids change their names","Pretend they have the same surname, last name, or family name because they like someone.",change their names,,
,,1,4,,By vain though apt affection.,,,,
,,1,4,LUCIO,She it is.,,,,
,,1,4,ISABEL,"Oh, let him marry her!",,,,
,,1,4,LUCIO,This is the point.,,,,
,,1,4,,The Duke is very strangely gone from hence;,,,,
,,1,4,,Bore many gentlemen -- myself being one --,,,,
,,1,4,,"In hand, and hope of action; but we do learn,",,,,
,,1,4,,"By those that know the very nerves of state,",,,,
,,1,4,,His giving out were of an infinite distance,,,,
,,1,4,,"From his true--meant design. Upon his place,",,,,
,,1,4,,"And with full line of his authority,",,,,
,,1,4,,Governs Lord Angelo -- a man whose blood,,,,
,,1,4,,Is very snow-broth; one who never feels,"**snow-broth** suggests that he is so cold that he has not blood, but ice cold water / melted snow in his veins",snow-broth,,
,,1,4,,"The wanton stings and motions of the sense,",**wanton stings** are undisciplined urges and desires,wanton stings,,
,,1,4,,But doth rebate and blunt his natural edge,"**rebate** means to make dull, **natural edge** human desire",rebate,,
,,1,4,,"With profits of the mind, study, and fast.","Angelo prefers study, fasting to sensual pleasures",,,
,,1,4,,"He, to give fear to use and liberty,",,,,
,,1,4,,Which have for long run by the hideous law,,,,
,,1,4,,"As mice by lions, hath picked out an act",,,,
,,1,4,,Under whose heavy sense your brother's life,,,,
,,1,4,,"Falls into forfeit. He arrests him on it,",,,,
,,1,4,,And follows close the rigor of the statute,Follows the letter of the law or abides by rules strictly.,close the rigor of the statute,,
,,1,4,,"To make him an example. All hope is gone,",,,,
,,1,4,,Unless you have the grace by your fair prayer,,,,
,,1,4,,To soften Angelo. And that's my pith,"A **pith** is the central part of something, here meaning the main reason.",pith,,
,,1,4,,Of business 'twixt you and your poor brother.,,,,
,,1,4,ISABEL,Doth he so seek his life?,,,,
,,1,4,LUCIO,"Has censured him already,",,,,
,,1,4,,"And, as I hear, the Provost hath a warrant",,,,
,,1,4,,For's execution.,,,,
,,1,4,ISABEL,Alas: what poor,,,,
,,1,4,,Ability's in me to do him good?,,,,
,,1,4,LUCIO,Assay the power you have.,"**Assay** means to attempt or try, which is the word Claudio used to Lucio in the previous scene",Assay,,
,,1,4,ISABEL,"My power? Alas, I doubt.",,,,
,,1,4,LUCIO,Our doubts are traitors,,,,
,,1,4,,"And makes us lose the good we oft might win,",,,,
,,1,4,,By fearing to attempt. Go to Lord Angelo,,,,
,,1,4,,"And let him learn to know, when maidens sue",When virtuous young women ask for things.,when maidens sue,,
,,1,4,,"Men give like gods, but when they weep and kneel,",,,,
,,1,4,,All their petitions are as freely theirs,,,,
,,1,4,,As they themselves would owe them.,,,,
,,1,4,ISABEL,I'll see what I can do.,,,,
,,1,4,LUCIO,But speedily.,,,,
,,1,4,ISABEL,"I will about it straight,",,,,
,,1,4,,No longer staying but to give the Mother,"**Mother** here is the nun in charge, Mother Superior or abbess.",Mother,,
,,1,4,,Notice of my affair. I humbly thank you.,,,,
,,1,4,,Commend me to my brother. Soon at night,,,,
,,1,4,,I'll send him certain word of my success.,**success* how it goes when I speak with him,success,,
,,1,4,LUCIO,I take my leave of you.,,,,
,,1,4,ISABEL,"Good sir, adieu.",,,,
,,1,4,StageDirection,Exeunt.,,,,
,,1,5,StageDirection,Scene Five,,,,
,,1,5,StageDirection,Enter Duke and Friar [Thomas][Peter].,,,,
,,1,5,DUKE,"No: holy father, throw away that thought,",,,,
,,1,5,,Believe not that the dribbling dart of love,"**dribbling dart** an arrow that doesn't quite hit the target, falls short; secondary sexual play on words for a penis that cannot quite stay erect",dribbling dart,,
,,1,5,,Can pierce a complete bosom. Why I desire thee,"**complete** fully equipped, no weakness or defect",complete,,
,,1,5,,To give me secret harbor hath a purpose,,,,
,,1,5,,More grave and wrinkled than the aims and ends,"it's serious and mature, although we honestly never know exactly what that purpose is",grave and wrinkled,,
,,1,5,,Of burning youth.,,,,
,,1,5,FRIAR,May your Grace speak of it?,,,,
,,1,5,DUKE,"My holy sir, none better knows than you",,,,
,,1,5,,"How I have ever loved the life removed,",,,,
,,1,5,,And held in idle price to haunt assemblies,,,,
,,1,5,,Where youth and cost witless bravery keeps.,,,,
,,1,5,,I have delivered to Lord Angelo --,,,,
,,1,5,,A man of stricture and firm abstinence --,,,,
,,1,5,,My absolute power and place here in Ferrara;,,,,
,,1,5,,And he supposes me traveled to Poland --,,,,
,,1,5,,"For so I have strewed it in the common ear,",,,,
,,1,5,,"And so it is received. Now, pious sir,",,,,
,,1,5,,You will demand of me why I do this.,,,,
,,1,5,FRIAR,"Gladly, my lord.",,,,
,,1,5,DUKE,"We have strict statutes and most biting laws,",,,,
,,1,5,,"The needful bits and curbs to headstrong [weeds][jades],",,,,
,,1,5,,"Which for this fourteen years we have let slip,",,,,
,,1,5,,Even like an o'ergrown lion in a cave,,,,
,,1,5,,"That goes not out to prey. Now, as fond fathers,",,,,
,,1,5,,Having bound up the threat'ning twigs of birch,,,,
,,1,5,,Only to stick it in their children's sight,,,,
,,1,5,,"For terror, not to use, in time the rod",,,,
,,1,5,,"More mocked becomes than feared: so our decrees,",,,,
,,1,5,,"Dead to infliction, to themselves are dead;",,,,
,,1,5,,"And Liberty plucks Justice by the nose,",,,,
,,1,5,,"The baby beats the nurse, and quite athwart",,,,
,,1,5,,Goes all decorum.,,,,
,,1,5,FRIAR,It rested in your grace,,,,
,,1,5,,"To unloose this tied-up justice when you pleas'd,",,,,
,,1,5,,And it in you more dreadful would have seemed,,,,
,,1,5,,Then in Lord Angelo.,,,,
,,1,5,DUKE,I do fear: too dreadful.,"Duke says he doesn't care about the aves vehement of the citizenry, but he also doesn't want to appear too dreadful, too tyrannous; prefers Angelo to do this dirty work for him",too dreadful,,
,,1,5,,"Sith 'twas my fault to give the people scope,",,,,
,,1,5,,Twould be my tyranny to strike and gall them,,,,
,,1,5,,For what I bid them do -- for we bid this be done,,,,
,,1,5,,"When evil deeds have their permissive pass,",,,,
,,1,5,,"And not the punishment. Therefore indeed, my father,",,,,
,,1,5,,"I have on Angelo imposed the office,",,,,
,,1,5,,"Who may in th' ambush of my name strike home,",,,,
,,1,5,,And yet my nature never in the fight,"I won't take any heat, and in fact, I can come back afterwards, ease things a bit, and look like a hero by comparison to Angelo",my nature never in the fight,,
,,1,5,,"To do in slander. And to behold his sway,",to see how Angelo does this ,behold his sway,,
,,1,5,,I will as 'twere a brother of your order,,,,
,,1,5,,"Visit both prince and people. Therefore, I prithee,",,,,
,,1,5,,"Supply me with the habit, and instruct me",,,,
,,1,5,,How I may formally in person bear,,,,
,,1,5,,Like a true friar. More reasons for this action,,,,
,,1,5,,At our more leisure shall I render you.,,,,
,,1,5,,"Only this one: Lord Angelo is precise,","**precise** meaning exacting, strict",precise,,
,,1,5,,"Stands at a guard with envy, scarce confesses",,,,
,,1,5,,"That his blood flows, or that his appetite","again, we are talking about Angelo's bodily fluids",blood flows,,
,,1,5,,Is more to bread than stone. Hence shall we see,,,,
,,1,5,,"If power change purpose, what our seemers be.",Major thematic question of this play: seeming vs. reality,seemers,,
,,1,5,StageDirection,Exit.,,,,
,,1,6,StageDirection,Scene Six,,,,
,,1,6,StageDirection,"Enter Angelo, Escalus, and servants.",,,,
,,1,6,ANGELO,"We must not make a scarecrow of the law,",Angelo is advocating for a strict interpretation of the law. He does not want to be as lax as the Duke has been.,scarecrow of the law,,
,,1,6,,"Setting it up to fear the birds of prey,",ibid1,,,
,,1,6,,And let it keep one shape till custom make it,ibid2,,,
,,1,6,,"Their perch, and not their terror.",ibid3,,,
,,1,6,ESCALUS,"Ay, but yet",,,,
,,1,6,,"Let us be keen, and rather cut a little",Escalus is suggesting a less aggressive perspective on how justice should be served.,Let us be keen,,
,,1,6,,"Then fall and bruise to death. Alas, this gentleman",Claudio,this gentleman,,
,,1,6,,Whom I would save had a most noble father.,Escalus is saying here that he knows Claudio and the family and believes them to be noble.,had a most noble father.,,
,,1,6,,Let but your honor know --,ibid1,,,
,,1,6,,Whom I believe to be most straight in virtue --,ibid2,,,
,,1,6,,"That in the working of your own affections,",,,,
,,1,6,,"Had time cohered with place, or place with wishing,",,,,
,,1,6,,Or that the resolute acting of your blood,"Again with Angelo's blood, in this case referring to his passions",blood,,
,,1,6,,Could have attained th'effect of your own purpose --,,,,
,,1,6,,Whether you had not sometime in your life,"Escalus is saying that in other circumstances, Angelo could easily be in the situation Claudio finds himself in. This is also foreshadowing the predicament that Angelo will find himself in later in the play.",Whether you had not sometime in your life,,
